Alnavar Junction, LWR   
Ambliyasan Jn, UMN   
Abohar Junction, ABS   
Achhnera Junction, AH    
Adra Junction, ADRA  
Agra Cantt, ADST  
Ahmadpur Junction, ADP   
Ajmer Junction, AII   
Akola Junction, AK    
Aligarh Junction, ALCA  
Alipurduar Junction, APD   
Allahabad Junction, ALD   
Ambala Cantt, AMPA  
Amla Junction, AAL   
Amritsar Jn, ASR   
Anand Jn, ANDN  
Andal Junction, BRPM  
Ankleshwar, AKV   
Anuppur Jn, APR   
Arakkonam Jn, AJJ   
Ara Junction, AAY   
Asansol Junction, ASN   
Aunrihar Jn, ARJ   
Ayodhya Jn, APN   
Azimganj Jn, ACLE  
Badarpur Jn, BPB   
Badnera Junction, BD    
Bakhtiyarpur Jn, BKP   
Balaghat Jn, BTC   
Balamu Jn, BLM   
Balangir Jn, BLGR  
Balharshah Junction, BPQ   
Ballari, BAY
Ballygunge Jn, BLN   
Bandel Jn, BDC   
Bangarapet, BWT   
Bankura Junction, BQA   
Barang Junction, BRAG  
Barauni Jn, BJU   
Barddhaman Junction, BWN   
Bareilly Junction, BC    
Bargarh Road Jn, BRG   
Barharwa Jn, BHW   
Barhiya Jn, BRYA  
Barsoi Junction, BOE   
Baruipur Junction, BRP   
Batala Jn, BAT   
Bathinda Junction, BTI   
Bengaluru, SBC
Bhagalpur, BGP   
Bharuch, BH    
Bhilai Jn, BIA   
Bhildi, BLDI  
Bhimavaram Junction, BVRM  
Birur Junction, RRB   
Bhiwani, BNW   
Bhojipura Junction, BPR   
Bhopal Jn, BPKA  
Bhusaval Jn, BSL   
Bihar Sharif Junction, BEHS  
Bikaner Junction, BKN   
Bilaspur Jn, BLSP  
Billimora Jn, BIM
Bimalgarh Jn, BUF
Bina Jn, BAB   
Bokaro Steel City Jn, BKRO  
Bondamunda Jn, BNDM  
Chalisgaon Junction, CSN   
Chhapra Junction, CI    
Champa Jn, CHT   
Chandigarh Jn, CDG   
Chandil Jn, BHCL  
Chandrapura Jn, CRP   
Chengalpattu Junction, CGL   
Chhindwara Junction, CWA   
Chikkbanvara Junction, BAW
Chittaurgarh Jn, COR   
Coimbatore North Junction, CBE   
Cuddalore Port Junction, COT   
Dabhoi Junction, DB    
Dahod Jn, DHD   
Damodar Jn, DMA   
Dankuni Jn, DKAE  
Daund Jn, DD    
Deoghar Jn, DGHR
Delhi Jn, DAZ   
Dewas Jn, DWX   
Dharmapuri Jn, DPJ   
Dharmavaram Junction, DMM   
Dhasa Jn, DAS   
Dhola Jn, DHMZ  
Dhone Junction, DHNE
Dhrangadhra Jn, DHG
Dhuri Jn, DUI   
Dindigul Junction, DG    
Diva Jn, DIVA  
Dornakal Jn, DKJ   
Dum Dum Junction, BHU   
Duvvada Junction, DVD   
Durg Jn, BGZ   
Ernakulam Junction, ERN   
Erode Junction, ED    
Etawah Junction, ETB   
Faizabad Jn, FD    
Farrukhabad Junction, FBD   
Fatuha Jn, FUT
Fazilka Jn, FKA   
Firozpur Cantt Jn, FZP   
Firozpur City Jn, FZP   
Gadag Junction, DGDG  
Gadwal Jn, GWD   
Gandhidham Jn, GIMB  
Garwa Road, DNW   
Gaya Jn, GAYA  
Ghazipur City Jn, GCT   
Godhani, GNQ
Godhra, GDA   
Gomoh, GMO   
Gondia Junction, G     
Gooty Junction, GY    
Gorakhpur Jn, GKC   
Gudivada Junction, GDV   
Gudur Junction, GDR   
Guntakal Junction, GTL   
Guntur Junction, GNT   
Gwalior Junction, GWL   
Hajipur Jn, HJP   
Hanumangarh Jn, HMH   
Hapur Jn, AQG   
Hassan Jn, HAS   
Hathras Jn, HRS   
Hisar Jn, DIC   
Hotgi, HG    
Howrah Junction, HWH   
Hubli Junction, UBL   
Hussain Sagar Jn, HSJ
Indara Jn, IAA   
Indore Jn, INDB  
Irugur Junction, IGU   
Itarsi Jn, ET    
Itwari, ITR   
Jabalpur Junction, JBP   
Jaipur Junction, BJPR  
Jakhal Jn, JHL   
Jalandhar City Junction, JRC   
Jalgaon Jn, JL    
Jamalpur, JMP   
Janghai Jn, JNH   
Jankampet Junction, JKM   
Jasidih Jn, JSME  
Jaunpur Junction, JNU   
Jetalsar, JLR   
Jhansi Jn, JCO   
Jharsuguda Jn, JSG   
Jind Junction, JCY   
Jodhpur Jn, JDH   
Jolarpettai Junction, JTJ   
Junagadh Jn, JND   
Kadur Jn, DRU   
Kalaburagi Jn, KLBG
Kalamna, KAV   
Kalinarayanpur Junction, KLNP
Kalol, KLL   
Kalyan Junction, KPRD  
Kalyani Jn, KYI   
Kamakhya Junction, KAMG  
Kanalus Junction, KNLS
Kanhan Junction, KZE   
Kanpur Central, CNB   
Karaikudi Junction, KKDI
Karimganj Junction, KXJ   
Karjat Junction, KJT   
Karur Junction, KRR   
Katihar Junction, KIR   
Katni Junction, KTE   
Katpadi Junction, KPD   
Katwa Junction, KWAE  
Kayamkulam Junction, KYJ
Kazipet Junction, KZJ   
Khanapur Junction, KHNP  
Khagaria Junction, KGG   
Khana Junction, AIK   
Kharagpur Junction, KGP   
Khijadiya Junction, KJV   
Khurda Road Junction, KUR   
Kiul Junction, KBC   
Koderma Junction, KQR   
Kollam Junction, QLN
Koraput Junction, KRPT  
Kosamba Junction, KSB   
Kota Junction, KBA   
Kotkapura Junction, KKP   
Kotshila Junction, KSX   
Kottavalasa Junction, KTV   
Krishna Canal, KCC   
Krishnanagar City Junction, KNJ   
Kurduvadi Junction, KWV
Kurla Junction, CLA   
Lalkuan Junction, LKU
Lanjigarh Road Junction, LJR   
Londa Junction, LD    
Lonand , LNN   
Lucknow Junction, AMV   
Ludhiana Junction, LDH   
Madhupur Junction, GMP   
Madurai Junction, MDCB  
Magnesite Junction, MGSJ
Mahuda Junction, MHQ   
Mahesana Junction, MSH   
Mainpuri Junction, MNQ   
Majri Junction, BDMJ  
Maksi Junction, MKC   
Manamadurai Junction, MNM   
Mangalore Junction, MAQ   
Manikpur Junction, GRMR  
Manmad Junction, MMR   
Manpur Junction, AHM   
Mansi Junction, ASVL  
Marwar Junction, GVMR  
Mathela Junction, MTA   
Mathura Junction, MCB   
Mavli Junction}, MVJ   
Mayiladuthurai Junction, MV    
Merta Road Junction, DMF   
Miraj Junction, MRJ   
Miyagam Karjan Junction, MYG   
Moradabad Junction, MB    
Mudkhed Junction, MUE   
Mughalsarai Jn, MGS   
Muri Junction, AMY   
Murtizapur Junction, MZR
Muzaffarpur Junction, MFP   
Nadiad Junction, ND    
Nagbhir Junction, NAB   
Nagda Junction, NAD   
Nagapattinam Junction, NGT
Nagercoil Junction, NCJ   
Nagpur Junction, CABO  
Naihati Junction, NH    
Naini Junction, NNT   
Nainpur Junction, NIR   
Nalhati Junction, NHT   
Nandyal Junction, NDL   
Narkatiaganj Junction, NKE   
Narkher Junction, NRKR  
Naupada Junction, NWP   
Neral Junction, NRF   
New Cooch Behar, GSW   
New Farakka Junction, GSW   
New Jalpaiguri Jn, GSW   
Nidadavolu Junction, NDD   
Nidamangalam Junction, NMJ   
Nizamabad Junction, NZB   
Omalur Junction, OML   
Pachora Junction, PC    
Pakala Junction, PAK   
Palakkad Junction, PGT
Palanpur Junction, PNU   
Panipat Junction, PNP   
Panskura Jn, PKU   
Panvel Junction, PNVL  
Parbhani, PBN   
Patna Junction, CPT   
Peddapalli Junction, PDPL  
Penukonda Junction, PKD   
Peralam Junction, PEM   
Phagwara, PGW   
Phaphamau, PFM   
Phillaur Junction, PHR   
Phulera Junction, FL    
Pilibhit Jn, PBE   
Podanur Junction, PTJ   
Pollachi Junction, POY   
Prachi Road Junction, PCC   
Pratapgarh Junction,
Pulgaon Jn, PLO   
Pune Junction, PUNE  
Puntamba Junction, PB    
Purna Junction, KTP   
Purulia Junction, PRR   
Raichur Junction, RC    
Raipur Junction, QRP   
Raj Athgarh Junction, ADRA  
Rajkharswan Junction, RKSN
Rajkot Junction, RJT   
Rajpura Junction, MGRP  
Rajula Junction, RJU   
Ramganj Mandi Junction, RMA   
Rampurhat Junction, RPH   
Ranaghat Junction, RHA   
Ranchi Junction, RNC   
Rangiya Junction, RNY   
Raniganj Junction, RNG   
Raninagar Jalpaiguri Jn, RQJ
Ratlam Junction, RTM   
Renigunta Junction, RU    
Rewari Junction, RE    
Rohtak Junction, ROK   
Rourkela Junction, ROU
Sakri Junction, SGK   
Saharanpur Junction, SRE   
Saharsa Junction, SHC   
Sainthia Junction, SNT   
Salem Junction, CHSM  
Samastipur Junction, SPJ   
Sambalpur Junction, SBP   
Santragachi Jn, SRC   
Sarupsar Junction, SRPR  
Sasaram Junction, SSM   
Satna Junction, STA   
Secunderabad, SC    
Sewagram Junction, SEGM
Sheoraphuli Jn, SHE
Shikohabad Junction, SKB   
Shoranur Junction, SRR   
Sihor Junction, SHR   
Singapur Road Junction, SPRD  
Sirhind Junction, SIR   
Sitapur Cantonment, RJC   
Sitapur City Junction, RJC   
Sitarampur Jn, STN   
Solapur Junction, SUR   
Sonipat Junction, SNP   
Sonarpur Junction, SPR   
Sonnagar Jn, SEB   
Sultanpur Jn, SLN   
Surendranagar Jn, SRGT  
Tadali Jn, TAE   
Talala Jn, TAV   
Talvadiya Jn, TLV
Tatanagar Jn, TATA  
Tenali Junction, TEL   
Tenkasi Junction, TSI   
Thanjavur Junction, TJ    
Thiruthuraipoondi Junction, TTP
Thiruvarur Junction, TVR   
Tilaiya Jn, TIA
Tiruchirappalli Junction, TPJ
Tirunelveli Junction, TEN   
Titlagarh Jn, TIG   
Tori Jn, TORI  
Tumsar Road, TMR   
Udhna Jn, UDN   
Ujjain Junction, UJN   
Unnao Junction, ON    
Vanchi Maniyachchi Junction, GLV   
Varanasi Junction, BCY   
Vasad Jn, VDA   
Veraval Junction, VRL   
Vijayawada Junction, BZA   
Vikarabad Jn, VKB   
Viluppuram Junction, VM
Viramgam Jn, VG    
Virudhunagar Junction, VPT
Visavadar Jn, VSW   
Vishakapattanam Jn, VSKP
Vizianagram Junction, VZM   
Vriddhachalam Junction, VRI
Wadi Junction, BAND  
Wardha Junction, WR    
Yerraguntla Junction, YA    
Yeshvantapur, YPR
Zafarabad Jn, ZBD   
